Năm,Giá trị: Tổng số,Giá trị: Nông lâm thủy sản,Giá trị: Công nghiệp xây dựng,Giá trị: Dịch vụ,Giá trị: Thuế sản phẩm
1986,599.0,228.0,173.0,198.0,
1987,2870.0,1164.0,814.0,892.0,
1988,15420.0,7139.0,3695.0,4586.0,
1989,28093.0,11818.0,6444.0,9831.0,
1990,41955.0,16252.0,9513.0,16190.0,
1991,76707.0,31058.0,18252.0,27397.0,
1992,110532.0,37513.0,30135.0,42884.0,
1993,140258.0,41895.0,40535.0,57828.0,
1994,178534.0,48968.0,51540.0,78026.0,
1995,228892.0,62219.0,65820.0,100853.0,
1996,272036.0,75514.0,80876.0,115646.0,
1997,313623.0,80826.0,100595.0,132202.0,
1998,361017.0,93073.0,117299.0,150645.0,
1999,399942.0,101723.0,137959.0,160260.0,
2000,441646.0,108356.0,162220.0,171070.0,
2001,481295.0,111858.0,183515.0,185922.0,
2002,535762.0,123383.0,206197.0,206182.0,
2003,613443.0,138285.0,242126.0,233032.0,
2004,715307.0,155992.0,287616.0,271699.0,
2005,914001.0,176402.0,348519.0,389080.0,
2006,1061565.0,198797.0,409602.0,453166.0,
2007,1246769.0,232586.0,480151.0,534032.0,
2008,1616047.0,329886.0,599193.0,686968.0,
2009,1809149.0,346786.0,676408.0,785955.0,
2010,2739843.2,421253.4,904775.0,1113126.3,300688.5
2011,3539881.3,575554.6,1224105.4,1377262.1,362959.2
2012,4073762.3,659929.4,1460860.6,1593608.6,359363.7
2013,4473655.6,680694.1,1591509.7,1813709.9,387741.9
2014,4937031.7,734647.5,1742701.5,2020411.6,439271.1
2015,5191323.7,751429.9,1778887.4,2190375.7,470630.8
2016,5639401.0,779266.8,1923894.0,2416736.5,519503.1
2017,6293904.6,813794.3,2227435.7,2679990.1,572685.0
2018,7009042.1,862579.6,2561274.0,2955777.4,629410.6
2019,7707200.3,908257.2,2836491.5,3273149.5,689302.1
2020,8044385.7,1018050.0,2955806.0,3365059.9,705470.3
2021,8487475.6,1069685.0,3173596.1,3501715.2,742480.1
2022,9621371.8,1143047.8,3702531.1,3957813.1,817979.8
2023,10319058.9,1225009.2,3879273.6,4362931.2,851845.0
2024,11510328.9,1384569.9,4318248.8,4875107.5,932402.7
