Nam,GDP_TongSo,TongTaiSanCoDinh,ThayDoiTonKho,TieuDungCuoiCung,TieuDungNhaNuoc,TieuDungHoDanCu,ChanLechXuatNhapKhau,SaiSo
1995,228892.0,58187.0,3944.0,187233.0,18741.0,168492.0,-20819.0,347.0
1996,272036.0,71597.0,4853.0,225231.0,22722.0,202509.0,-29839.0,194.0
1997,313623.0,83734.0,5020.0,250584.0,25500.0,225084.0,-25526.0,-189.0
1998,361016.0,97551.0,7324.0,283444.0,27523.0,255921.0,-26371.0,-932.0
1999,399942.0,102799.0,7704.0,301690.0,27137.0,274553.0,-11418.0,-833.0
2000,441646.0,122101.0,8670.0,321853.0,28346.0,293507.0,-10878.0,-100.0
2001,481295.0,140301.0,9732.0,342607.0,30463.0,312144.0,-10982.0,-363.0
2002,535762.0,166828.0,11155.0,382137.0,33390.0,348747.0,-27684.0,3326.0
2003,613443.0,204608.0,12826.0,445221.0,38770.0,406451.0,-51288.0,2076.0
2004,715307.0,237868.0,15818.0,511221.0,45715.0,465506.0,-54000.0,4400.0
2005,914001.0,285841.0,22702.0,648519.0,49952.0,598567.0,-30307.0,-12755.0
2006,1061565.0,332949.0,33680.0,749688.0,58734.0,690954.0,-30873.0,-23880.0
2007,1246769.0,437702.0,55598.0,918388.0,69247.0,849141.0,-169182.0,4263.0
2008,1616047.0,513987.0,75759.0,1236265.0,90904.0,1145361.0,-220495.0,10531.0
2009,1809149.0,612526.0,59800.0,1343691.0,104540.0,1239151.0,-187557.0,-19310.0
2010,2739843.2,963320.3,53136.2,1885502.4,284486.4,1601016.0,-154143.5,-7972.3
2011,3539881.3,1082120.7,63779.3,2352796.8,353312.6,1999484.2,-102666.0,143850.4
2012,4073762.3,1167244.2,77668.6,2694746.3,425512.1,2269234.2,151696.0,-17592.9
2013,4473655.6,1266169.1,85452.1,3033143.6,488351.7,2544791.9,123228.5,-34337.7
2014,4937031.7,1402349.1,93029.7,3324329.0,509376.4,2814952.7,186947.1,-69623.3
2015,5191323.7,1566571.5,100306.3,3633279.9,553131.0,3080148.9,48355.9,-157189.8
2016,5639401.0,1685834.6,103239.4,3898821.4,586406.2,3312415.2,158188.8,-206683.2
2017,6293904.6,1922458.3,110806.5,4288217.2,637882.6,3650334.6,160177.4,-187754.8
2018,7009042.1,2126648.0,117612.4,4683636.7,683093.5,4000543.3,293186.5,-212041.6
2019,7707200.3,2340103.9,124655.7,5118113.3,738260.1,4379853.2,432447.9,-308120.5
2020,8044385.7,2435664.4,131756.6,5264719.7,762512.3,4502208.0,443835.6,-231590.6
2021,8487475.6,2634075.8,157930.5,5525695.6,813531.8,4712163.8,86961.1,82812.7
2022,9621371.8,2940853.2,170747.0,6109397.2,848501.3,5260895.9,354705.2,45669.7
2023,10319058.9,3109060.4,158815.2,6483293.5,909372.5,5573920.9,874823.3,-306933.5
2024,11510328.9,3342939.5,177463.1,7182395.7,1017783.4,6164612.3,801814.2,5716.4
