Country Name,Country Code,Series Name,Series Code,1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Thailand,THA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,15.6641499,15.73343752,16.1780589,15.07529261,12.49962783,12.6498266,12.29733574,8.025829297,8.627547715,9.081224598,9.063416493,9.06490231,10.25922711,8.892995278,8.499848121,8.57928745,8.69217818,9.441354958,9.291110139,9.194355282,9.401993466,9.347684701,10.07243383,9.787033759,10.52217564,11.59179178,11.50410015,11.32221534,10.08892162,8.872723648,8.478076963,8.406412587,8.201819262,8.12856804,8.702852147,8.692912931,8.719451384,8.562775987,8.711126619,..
Thailand,THA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,33.08293627,33.34315515,34.57998539,36.25152944,37.22474396,38.65788145,38.0558367,36.85485744,36.99519394,37.27802023,37.08128566,36.56459978,36.11172734,36.37889978,36.66940838,36.32100349,36.89443145,37.91817489,37.9023025,38.50521071,39.14685588,39.43137188,39.47961297,38.60859889,39.9217257,37.98139827,37.34369414,36.89858846,36.76304037,36.17917733,35.58676541,35.01875953,34.74248967,33.59391051,33.29072297,35.03171197,35.1217577,32.98040933,32.13597765,..
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,..,..,..,..,..,..,..,55.11931326,54.37725835,53.64075518,53.85529784,54.37049791,53.62904555,54.72810495,54.8307435,55.09970906,54.41339037,52.64047015,52.80658737,52.30043401,51.45115065,51.22094342,50.44795321,51.60436735,49.55609866,50.42680995,51.15220571,51.7791962,53.14803802,54.94809903,55.93515763,56.57482789,57.05569107,58.27752145,58.00642489,56.2753751,56.15879091,58.45681468,59.15289573,..
Thailand,THA,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,74.1441867,71.41154927,66.78518643,65.01702574,65.9631482,64.19717854,64.66815955,62.96070449,63.18316983,62.55152795,63.29320201,65.08450612,64.73960838,66.7576651,67.70970173,69.47729289,68.82986936,68.55681926,68.98854547,69.49350383,67.95342119,66.47434897,67.98134611,69.0458321,67.97634562,69.10272359,69.62137974,68.91573452,69.51257507,68.46585435,66.87463765,65.22926703,65.06247991,65.9431598,70.84248738,70.47485598,72.28398071,74.09791147,74.89827485,..
Thailand,THA,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,25.78028667,27.63792691,30.67911124,34.61921119,40.38222317,41.63158837,39.25527194,39.06462105,39.99972893,41.32127786,41.65494619,34.61143746,22.15178687,20.41001072,21.57492771,22.48036998,21.91158521,23.03190143,24.86419159,27.71262281,26.84663223,25.4562514,26.44771585,23.10895489,23.9927018,25.83636938,26.99365284,25.3835377,24.661391,24.52848915,23.71362635,23.10836493,22.78622637,22.57295117,23.21242866,23.50779044,23.36192715,22.93120096,22.24305645,..
Thailand,THA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,25.6017967,28.89401099,33.01196847,34.92152805,34.13192824,35.96430952,36.97247567,36.81728956,38.24211391,41.53234507,39.0184202,48.23705871,57.93730284,56.43854286,64.84025074,63.25068976,60.6457526,61.52255163,65.97185734,68.4027169,68.67534203,68.87227517,71.41641811,64.43861249,66.48617316,70.85490938,68.95123563,67.17114107,68.39413516,67.63669027,67.07088397,66.67283247,64.8380969,59.51889062,51.49442661,58.55938918,65.37276419,65.44456294,70.04973074,..
Thailand,THA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,4390,4840,5250,5740,6230,6770,7140,6930,6330,6690,7150,7420,7860,8460,9130,9710,10510,11320,11620,11540,12390,12910,13950,14240,14570,14980,15890,16790,17960,19230,18740,19540,21530,22930,23960,..
Thailand,THA,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,..,..,..,..,..,17948.0336,18685.98889,19799.89617,20901.1992,21981.55817,22670.08795,21583.04591,20305.80319,21072.39305,21428.33085,21819.65038,22704.39242,23991.20975,25130.73549,25775.80387,26863.07676,27791.99111,27912.72971,27483.18808,29419.44892,28698.02994,30555.53574,32192.09695,32381.92333,33361.84674,34706.25736,36301.27634,37364.43973,38366.15696,35914.62079,36345.69133,36892.93275,37074.51836,38288.90965,..
Indonesia,IDN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,24.25344163,23.32694531,24.12159195,23.42552877,21.5487236,19.66180729,19.52141047,17.87984443,17.28626233,17.1383462,16.67238738,16.09211022,18.08285295,19.6126764,15.67870444,15.99491776,16.31966897,15.18534822,14.3357803,13.12661864,12.97380272,13.7166831,14.48174026,15.29014815,13.92921271,13.51228707,13.37397424,13.35669916,13.336755,13.49264356,13.47874855,13.15663085,12.80849756,12.71260266,13.69841428,13.28016914,12.39965016,12.52942148,12.60866588,..
Indonesia,IDN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,33.78820606,36.25428928,36.20734838,37.10764203,39.38494007,41.20477362,39.97996033,39.68049808,40.64204435,41.80083742,43.45578405,44.3289568,45.22777055,43.36006167,41.96907464,47.89350079,47.74533116,43.74956609,44.62761598,46.54105887,46.94355874,46.79914152,48.06074477,47.65212258,42.77586634,43.91342343,43.59374442,42.63567744,41.92834213,40.0478624,39.30844398,39.3791548,39.72973745,38.951768,38.23839372,39.84481919,41.42926418,40.21568231,39.31848572,..
